cas_actor1,cas_actor2,cas_actor3,cas_actor4,cas_actor5,cas_actor6,cas_actor7,cas_actor8,cas_actor9,cas_actor10,crew_Director,id
Belarmino Fragoso,Maria Amélia Fragoso,Ana Paula Fragoso,Júlia Buisel,,,,,,,Fernando Lopes,154019
,,,,,,,,,,Scott Walker,199373
,,,,,,,,,,Uwe Boll,66608
Barbara Hershey,John Lithgow,Howard Gardner,Robert F. Lyons,Ellen Barber,Charles Durning,,,,,Paul Williams,116764
,,,,,,,,,,Peter Levin,250155
,,,,,,,,,,Adam Wingard,83899
Brigitte Bardot,Charles Boyer,Henri Vidal,Noël Roquevert,Madeleine Lebeau,Fernand Sardou,Claire Maurier,,,,Michel Boisrond,51166
John Astin,Steve Carlson,Pat Carroll,Jesse White,Lee Meriwether,,,,,,,107239
Gwei Lun-mei,Zaizai Lin,Chang Han,,,,,,,,Ya-chuan Hsiao,42355
Christian Camargo,Alexie Gilmore,Traci Dinwiddie,David P. Emrich,Kristin Foster,Elaine Nalee,Valerie Watkins,Craig Sheffer,Beth W. Crookham,Cullen Moss,Erica Dunton,46891
Iwan Mosschuchin,Marcelle Pradot,Lois Moran,Marthe Mellot,Pauline Carton,Irma Perrot,Michel Simon,Pierre Batcheff,Georges Térof,Philippe Hériat,Marcel L'Herbier,66148
Wallace Beery,Jane Powell,Elizabeth Taylor,Carmen Miranda,Xavier Cugat,Robert Stack,Scotty Beckett,Selena Royle,Leon Ames,,Richard Thorpe,96252
Tallulah Bankhead,Charles Coburn,Anne Baxter,William Eythe,Vincent Price,Mischa Auer,,,,,Ernst Lubitsch,77123
Shirley Jones,Gig Young,Red Buttons,Carolyn Jones,Edgar Buchanan,Eddie Applegate,Edward Platt,Bill Mumy,,,George Sidney,107231
,,,,,,,,,,Marlon Rivera,83272
,,,,,,,,,,Tom Gries,242920
,,,,,,,,,,Tobias Tobbell,167919
Marin Ireland,Paul Sparks,Niesha Butler,Bennie Slay,Zoran Radanovich,,,,,,Noah Buschel,136466
Paco León,Olivia Molina,Alfonso Bassave,Carmen Balagué,Roberto Álvarez,Jesús Castejón,Jordi Martínez,Stefano Scandaletti,,,Joaquín Oristrell,26971
,,,,,,,,,,Victor Salva,25756
,,,,,,,,,,Dito Montiel,169209
,,,,,,,,,,Terry Gilliam,39005
Matti Pellonpää,Raija Paalanen,Kari Väänänen,Pertti Sveholm,Risto Salmi,Sulevi Peltola,Veikko Tiitinen,Eeva Litmanen,,,Matti Ijäs,217038
,,,,,,,,,,Antti Heikki Pesonen,140708
Eric Roberts,Joe Pantoliano,Tia Carrere,Tony Curtis,Clarence Williams III,William Forsythe,Chris Rock,Kevin Bernhardt,Kieran Mulroney,,Brian Grant,29231
Tobey Maguire,Amy Hathaway,Wilson Cruz,Christina Zilber,Adam West,Benicio del Toro,James Karen,Steven Gilborn,Judson Mills,J.P. Bumstead,Quinton Peeples,48319
Shin Eun-Kyung,Park Jun-gyu,Jang Se-jin,Joo Hyun,Hong Soo-a,Zhang Ziyi,Jo Mi-ryung,,,,Jeong Heung-sun,21708
Florence Loiret Caille,Didda Jónsdóttir,Eric Caruso,Samir Guesmi,Sophie Quinton,Anne Morin,,,,,Sólveig Anspach,129432
Amber Clayton,Eddie Baroo,Justin Batchelor,Nicholas Bell,John Brumpton,Ditch Davey,Leslie Simpson,Fletcher Humphrys,Peta Sergeant,,Justin Dix,138496
Aaron Dean Eisenberg,Liz Fenning,J. Walter Holland,Jared Grey,Domiziano Arcangeli,Jeffrey Damnit,Hans Uder,Gregory Chandler Maness,,,Mauro Borrelli,122372
,,,,,,,,,,David Morlet,17886
,,,,,,,,,,Jack Conway,33028
Kirk Douglas,Dany Robin,Gabrielle Dorziat,Fernand Ledoux,Marthe Mercadier,Brigitte Bardot,Serge Reggiani,,,,Anatole Litvak,168496
Mickey Rourke,Ron Howard,,,,,,,,,Jud Taylor,219956
,,,,,,,,,,Paul Hyett,127651
,,,,,,,,,,Olaf de Fleur Johannesson,202495
Bob Stephenson,Sherman Augustus,Aja Evans,Joel Michaely,Matt Winston,Andrew Kevin Walker,David Fincher,Gregory J. Pruss,Josh Eichenbaum,Jaime Ray Newman,Ludovic Houplain,32389
Alfred Molina,Ido Port,Zachi Noy,Anat Klausner,,,,,,,Lynn Roth,43740
,,,,,,,,,,Yoon Je-kyoon,33196
Bob Cowsill,,,,,,,,,,Louise Palanker,198342
,,,,,,,,,,Pinchas Perry,180318
,,,,,,,,,,Greg Finton,159167
,,,,,,,,,,Adam Neutzsky-Wulff,169758
Alex Hannant,Matt Jones,Colton Castaneda,Ward Edmondson,,,,,,,Luke Rivett,176720
,,,,,,,,,,Colin Teague,2911
,,,,,,,,,,Adam Gierasch,16921
Kevin Zegers,Jill Hennessy,Billy Burke,,,,,,,,Michael Lantieri,25172
T.J. Jagodowski,David Pasquesi,,,,,,,,,Alex Karpovsky,129854
,,,,,,,,,,George Seaton,218212
,,,,,,,,,,John Farrow,46525
Brian Bosworth,Joe Torry,Dara Tomanovich,Alan Scarfe,Brion James,,,,,,Philippe Mora,90785
,,,,,,,,,,Anne Fontaine,111190
,,,,,,,,,,Fabrice Joubert,37845
Jared Leto,Guy Martin,Ian Hutchinson,John McGuinness,Michael Dunlop,Keith Amor,Bruce Anstey,John Barton,,,Richard De Aragues,79628
,,,,,,,,,,Mikael Salomon,50674
Rex Harrison,Lilli Palmer,Tania Heald,Henrietta Barry,Dora Sevening,Ronald Simpson,Anthony Dawson,,,,Reginald Beck,136336
Dana Andrews,Carla Balenda,Claude Rains,Philip Dorn,Onslow Stevens,Skip Homeier,Eric Feldary,J.M. Kerrigan,Arthur Shields,Morgan Farley,Alfred L. Werker,174773
Maria Bamford,Jackie Kashian,Wayne Federman,,,,,,,,Jordan Brady,147129
,,,,,,,,,,George Cukor,176734
Stephen Nathan,Cindy Williams,Bruce Kimmel,Leslie Ackerman,Alan Abelew,Diana Canova,,,,,Mark Haggard,42244
Darlanne Fluegel,James Russo,Billy Drago,Richard Belzer,Michael Callan,,,,,,Francis Delia,211729
Brian Krause,Pamela Anderson,David Warner,Dean Stockwell,Clayton Rohner,Justina Vail,Victor Talmadge,Elizabeth Low,Deryl Carroll,Michael Papajohn,Lyndon Chubbuck,79950
Brady Corbet,Mati Diop,Michaël Abiteboul,Constance Rousseau,Lila Salet,Solo,,,,,Antonio Campos,84338
,,,,,,,,,,Dario Argento,135812
William Shatner,Hal Holbrook,Van Johnson,Ava Gardner,Maury Chaykin,Elizabeth Shepherd,Miguel Fernandes,Cindy Girling,,,George Mendeluk,107355
Scott Speedman,Tygh Runyan,Laura Harris,Sarah Strange,,,,,,,Gary Burns,124298
,,,,,,,,,,Scott Hillenbrand,40833
Dakota Fanning,Susan Sarandon,Kevin Kline,Patrick St. Esprit,Sean Flynn,Max Casella,Ben Winchell,,,,Wash Westmoreland,214091
Bernard Alane,Isabella Spade,Kacey Mottet Klein,Isabelle Giami,Laurent Gendron,Jacques Mathou,Pierre-François Martin-Laval,Eric Métayer,Urbain Cancelier,Pascal Parmentier,Patrice Leconte,118293
,,,,,,,,,,Ted Nicolaou,24789
,,,,,,,,,,Ted Nicolaou,52017
,,,,,,,,,,Ted Nicolaou,52021
Tod Andrews,Tina Carver,Linda Watkins,John McNamara,Gregg Palmer,Robert Swan,Baynes Barron,,,,Dan Milner,84058
,,,,,,,,,,Doug Campbell,54768
,,,,,,,,,,Eugenio Derbez,211954
Anders Hove,Denice Duff,Ioana Abur,Jonathon Morris,Mihai Dinvale,,,,,,Ted Nicolaou,52022
Ryan Sheckler,Rob Dyrdek,Paul Rodriguez,Chris Cole,Sean Malto,,,,,,Adam Bhala Lough,174334
,,,,,,,,,,Wong Jing,75465
Ed Koch,Michael Bloomberg,,,,,,,,,Neil Barsky,138217
Harry Styles,Niall Horan,Zayn Malik,Louis Tomlinson,Liam Payne,Jon Shone,Dan Richards,,,,Morgan Spurlock,164558
Andra Akers,William Finley,Margo Norton,Jared Martin,Ken Burrows,Lorenzo Catlett,Jack Harrell,Laura Stevenson,John Quinn,Jennifer Salt,Brian De Palma,64936
Charlie Chaplin,Edna Purviance,Lloyd Bacon,Eric Campbell,Leo White,Charlotte Mineau,Albert Austin,Frank J. Coleman,James T. Kelley,John Rand,Charlie Chaplin,53417
,,,,,,,,,,John Crowley,146223
,,,,,,,,,,George Schaefer,200236
Robert F. Kennedy III,Alec Baldwin,Giancarlo Giannini,Alessandra Mastronardi,Jeanene Fox,Eva Amurri Martino,,,,,Giovanni Consonni,219674
Ángel Vargas,Vera Yell,Lee Marks,Carl Washington,Jamal Grimes,Dee Dee Austin,Corey Hampton,Rani Goulant,Napiera Groves,William L. Johnson,Craig Ross Jr.,27711
,,,,,,,,,,Tammi Sutton,27712
Trent Haaga,Victoria De Mare,Al Burke,,,,,,,,John Lechago,61716
"Morton Downey, Jr.",Gloria Allred,Michele Bachmann,Glenn Beck,Richard Bey,Chris Elliott,Wally George,,,,Daniel A. Miller,185444
,,,,,,,,,,Courtney Solomon,146227
Lindsay Burdge,Will Brittain,Jennifer Prediger,Jonny Mars,Julie Dell Phillips,Chris Doubek,Michael J. Wilson,,,,Hannah Fidell,158884
Moon So-ri,Choi Min-sik,Park Cheol-min,Yoo Seung-Ho,,,,,,,Oh Seong-yun,89623
Shuguang Zhou,Shihe Zhang,,,,,,,,,Stephen T. Maing,127451
,,,,,,,,,,John Lechago,134756
,,,,,,,,,,David DeCoteau,27651
Raphaël Personnaz,Clotilde Hesme,Arta Dobroshi,Reda Kateb,Alban Aumard,Adèle Haenel,,,,,Catherine Corsini,126321
,,,,,,,,,,José Ferrer,65114
,,,,,,,,,,Uli Edel,47913
,,,,,,,,,,Roman Kachanov,49802
,,,,,,,,,,Matt Flynn,10432
Richard Widmark,Donna Reed,William Campbell,John McIntire,Barton MacLane,Harry Morgan,Robert J. Wilke,Jack Lambert,Roy Roberts,Edward Platt,John Sturges,62648
Peter Fitz,Hanns Zischler,Klaus Duwel,Helena Blavatsky,Guido Von List,,,,,,Rüdiger Sünner,194126
,,,,,,,,,,Dan Clark,86685
Marc Ian Barasch,Coleman Barks,Noam Chomsky,John Francis,Lynne McTaggart,Tom Shadyac,Desmond Tutu,Howard Zinn,,,Tom Shadyac,82932
,,,,,,,,,,Roy Del Ruth,37463
AnnaLynne McCord,"Antonio Sabàto, Jr.",James Brolin,Joanna Bacalso,Mario Macaluso,Marnee McClellan,Simone Griffeth,Lou Gazzara,Emmanuel Delcour,Gabrielle Howarth,Stewart Raffill,86235
,,,,,,,,,,Ray Enright,183825
George Montgomery,Neville Brand,Buster Crabbe,Karin Booth,Gregory Walcott,Malcolm Atterbury,Russell Johnson,Richard Devon,Morris Ankrum,Dan Riss,Fred F. Sears,124429
Minnie Driver,Aneurin Barnard,Danielle Branch,Kimberley Nixon,George MacKay,Robert Pugh,,,,,Marc Evans,86274
,,,,,,,,,,Susanna Helke,171964
,,,,,,,,,,Alonso Mayo,176088
,,,,,,,,,,Jack Arnold,37183
,,,,,,,,,,William Sachs,40231
,,,,,,,,,,Gordon Hessler,17282
,,,,,,,,,,Masahiro Shinoda,218508
Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,Phaldut Sharma,Amy Warren,Basher Savage,,,,Alfonso Cuarón,49047
Bruce Greenwood,Parker Posey,Callum Blue,Allie MacDonald,Rhys Ward,Allison Dawn Doiron,,,,,Zack Bernbaum,180810
,,,,,,,,,,Henry Pincus,57655
,,,,,,,,,,Gary Sherman,95730
Soumitra Chatterjee,Madhabi Mukherjee,Santi Chatterjee,Satish Haldar,Deochand Lal,Haradhan Bandopadhyay,,,,,Satyajit Ray,138030
Jemma Dallender,Joe Absolom,Yavor Baharov,Aleksandar Aleksiev,Mary Stockley,Michael Dixon,Valentine Pelka,Peter Silverleaf,George Zlatarev,,Steven R. Monroe,207768
,,,,,,,,,,Michael Dowse,212716
,,,,,,,,,,Hugh Hartford,122597
Astrid Bergès-Frisbey,Lluïsa Castell,Álvaro Cervantes,Llorenç González,Ricard Farré,Marc Garcia Coté,Julieta Marocco,Sonia Méndez,Marc Pociello,,Xavier Villaverde,104634
,,,,,,,,,,Allan Arkush,28735
William McInnes,Monic Hendrickx,Bille Brown,Christopher Sommers,David Field,,,,,,Peter Duncan,103902
Nils d'Aulaire,Jay Klaitz,Julie Ann Emery,April Lee Hernandez,Dee Snider,Onata Aprile,,,,,John Mitchell,115199
,,,,,,,,,,Denis Villeneuve,146233
,,,,,,,,,,Scott Cooper,164457
,,,,,,,,,,Christopher MacBride,133369
Richard Dormer,Jodie Whittaker,Liam Cunningham,Dylan Moran,,,,,,,Glenn Leyburn,130593
,,,,,,,,,,Jerusha Hess,156711
,,,,,,,,,,James Wan,91586
,,,,,,,,,,Michael Landon Jr.,195757
,,,,,,,,,,Ron Howard,96721
,,,,,,,,,,Yılmaz Erdoğan,57892
,,,,,,,,,,Chad Hartigan,158895
,,,,,,,,,,Luc Besson,112205
,,,,,,,,,,Marc Munden,64820
Billy Campbell,Portia Doubleday,Haley Ramm,Alex Frost,Olivia Crocicchia,Alex Russell,,,,,Philip G. Flores,62503
Dick Eklund,,,,,,,,,,Richard Farrell,58607
Chris Sharma,Melissa LaCasse,Tony Lamprecht,Miquel Riera,Sam Whittaker,,,,,,Peter Mortimer,11111
,,,,,,,,,,Destin Cretton,169813
,,,,,,,,,,Ramin Bahrani,121789
,,,,,,,,,,John Elias Michalakis,30995
,,,,,,,,,,Martha Coolidge,85509
,,,,,,,,,,Michael Keusch,27885
Joshua Jackson,Donald Sutherland,Juliette Lewis,Louise Fletcher,Steven Pasquale,Katie Griffin,Zack Ward,Tyler Labine,Niamh Wilson,Mark Andrada,James C.E. Burke,28320
,,,,,,,,,,Tim Whelan,38807
Harold Lloyd,Adolphe Menjou,Verree Teasdale,Helen Mack,William Gargan,George Barbier,Dorothy Wilson,Lionel Stander,Charles Lane,Marjorie Gateson,Leo McCarey,41349
,,,,,,,,,,Daniel Anker,106599
Anthony 'Treach' Criss,Debbie Mathers,Todd Nelson,Linda Bortell,,,,,,,Mike Corbera,103713
Philip Seymour Hoffman,Edward Norton,John Cusack,Tom Wolfe,Martin Sheen,Gore Vidal,Judd Apatow,Danny DeVito,,,Shane Salerno,180314
Derek de Lint,Sergio Hasselbaink,Vanja Rukavina,Denise Rebergen,Rogier Schippers,Chris Haley,Jody Bhe,,,,Ian Hubert,133701
Josh Henderson,Tom Arnold,Jenna Dewan,Lauren Storm,Kellie Cockrell,,,,,,Scott S. Anderson,34188
Roddy Piper,Torri Higginson,Rachel Wilson,JR Bourne,,,,,,,Don Allan,63924
Paresh Rawal,Rajeev Khandelwal,Tina Desai,Fatima Sana Shaikh,Dhruv Ganesh,,,,,,,157129
Maria Hofstätter,Nabil Saleh,Natalya Baranova,Rene Rupnik,Daniel Hoesl,,,,,,Ulrich Seidl,129734
Kevin Bacon,,,,,,,,,,Chad Cohen,158711
,,,,,,,,,,,63383
Ilona Elkin,Nicolas Wright,Tim Rozon,Emily Shelton,Neil Napier,Danny Blanco Hall,John Vamvas,,,,Maurice Devereaux,12791
,,,,,,,,,,Jonathan Segal,9971
,,,,,,,,,,Victor Fleming,156339
Jay Leno,Pat Morita,Ernie Hudson,Chris Sarandon,Tom Noonan,John Hancock,Al Waxman,Dennis Holahan,Danny Kamekona,Soon-Tek Oh,Lewis Teague,102059
Adolfo Jimenez Castro,Willebaldo Torres,Rut Reygadas,Eleazar Reygadas,Nathalia Acevedo,,,,,,Carlos Reygadas,103689
,,,,,,,,,,,320849
Nikohl Boosheri,Kandis Erickson,Kiran Deol,Michael Steger,Grace Parra,,,,,,Meera Menon,174348
,,,,,,,,,,Maggie Carey,129139
,,,,,,,,,,Jeffrey Travis,219288
,,,,,,,,,,Cynthia Munroe,74137
,,,,,,,,,,Dan Sallitt,119826
Christopher Atkins,Amanda Wyss,Ari Meyers,Roddy McDowall,Robb Edward Morris,Tre Laughlin,Greg Flowers,Ann Kymberlie,Donna Jarrett,,Hugh Parks,36992
,,,,,,,,,,Charlie Chaplin,43678
Charlie Chaplin,Edna Purviance,Ernest Van Pelt,Leo White,Lloyd Bacon,Paddy McGuire,Bud Jamison,Carl Stockdale,Fred Goodwins,,Charlie Chaplin,50775
,,,,,,,,,,Morgan O'Neill,136911
Dan Stulbach,Tony Ramos,Daniel Filho,Louise Cardoso,,,,,,,Daniel Filho,27457
,,,,,,,,,,Otto Preminger,108564
Stephen Hawking,,,,,,,,,,Stephen Finnigan,176238
,,,,,,,,,,James Isaac,22731
,,,,,,,,,,Brian A Miller,100544
Selena Gomez,Demi Lovato,Jamie Chung,Nicholas Braun,Kevin G. Schmidt,Sully Díaz,Isaac Santiago,Molly Hagan,,,Allison Liddi-Brown,19458
Harold Lloyd,Una Merkel,George Barbier,Nat Pendleton,Grace Bradley,Alan Dinehart,Grant Mitchell,John George,,,Sam Taylor,41347
,,,,,,,,,,Gilbert M. Anderson,53407
,,,,,,,,,,Mabel Normand,53374
Ritesh Deshmukh,Vivek Oberoi,Aftab Shivdasani,Suresh Menon,Karishma Tanna,Manjari Phadnis,Sonalee Kulkarni,Bruna Abdullah,Maryam Zakaria,Kainaat Arora,Indra Kumar,220714
,,,,,,,,,,Benson Lee,109417
Louis Theroux,,,,,,,,,,Jason Massot,115189
,,,,,,,,,,Andrew Monument,43065
,,,,,,,,,,Jack Gold,40950
,,,,,,,,,,Richard Laxton,34937
Thanos Kermitsis,Yannis Rubus Rubulias,Constantina Georganta,Georgia Giannakoudi,Meletis Georgiadis,Kyriakos Korogiannis,George Mpougos,Konstantina Tatsi,Thanos Liakos,,Thanos Kermitsis,245950
Brian Bloom,Brian Krause,Scott Bloom,Donald O'Connor,Traci Lords,Christine Jansen,David Lenthall,,,,Hal Needham,81996
Judge Reinhold,Meg Tilly,Cleavant Derricks,Joe Mantegna,John Turturro,Amy Wright,Harvey Keitel,Peter Wise,,,Michael Dinner,39243
,,,,,,,,,,Francis Veber,114726
Alexander Siddig,Joshua Jackson,Marisa Tomei,Oded Fehr,Saad Siddiqui,Fadia Nadda,Bonnie Lee Bouman,,,,Ruba Nadda,121676
,,,,,,,,,,Jill Soloway,156708
,,,,,,,,,,Tom Donahue,127878
András Gyémánt,László Gyémánt,Molnár Piroska,Ulrich Thomsen,Ulrich Matthes,Orsolya Tóth,Andorai Péter,,,,János Szász,199615
Dustin Milligan,Amanda Crew,Richard de Klerk,Alexia Fast,Anja Savcic,,,,,,Carl Bessai,71700
,,,,,,,,,,Lew Lehman,47038
Gene Autry,Champion,Anne James,William Fawcett,Leonard Penn,Michael Vallon,Pat Buttram,Al Bridge,Roy Bucko,Bob Burns,George Archainbaud,136966
Jeanette Roxborough,Martin Kove,Louis Mandylor,Spice Williams-Crosby,Lazar Rockwood,,,,,,,38746
,,,,,,,,,,Noboru Iguchi,85656
,,,,,,,,,,Darryl Roberts,32630
Alex Karpovsky,Tarik Lowe,Arielle Kebbel,Melonie Diaz,Kevin Corrigan,Sophia Takal,Mike Landry,Lena Dunham,,,Daniel Schechter,139998
Aris Servetalis,Johnny Vekris,Ariane Labed,Angeliki Papoulia,,,,,,,Yorgos Lanthimos,81857
Vince Clarke,Martin Gore,Gary Numan,Phil Oakey,Bernard Sumner,Neil Tennant,,,,,Benjamin Whalley,73590
Kostas Farmakidis,Ourania Georgiou,Marianella Kloka,Chrysa Botsi,Evangelia Soumeli,Anna Kavouri,Mariniki Alevizopoulou,Matthew Weait,,,Zoe Mavroudi,221410
,,,,,,,,,,Edward Bernds,75506
Eric McCormack,Jody Thompson,Conner Dwelly,Ryan Grantham,Dalias Blake,,,,,,Andrew Currie,134394
,,,,,,,,,,W. Lee Wilder,23045
,,,,,,,,,,Arnold Laven,53949
Henry Thomas,Tony Barry,Rachel Friend,Tamsin West,Dempsey Knight,John Ewart,Chris Gregory,Mark Knight,Dennis Miller,Katy Manning,Brian Trenchard-Smith,25666
,,,,,,,,,,Doug Wilson,91018
Renaldo Kuhler,,,,,,,,,,Brett Ingram,448538
Vincent Lindon,Chiara Mastroianni,Julie Bataille,Michel Subor,Lola Créton,Alex Descas,Grégoire Colin,Florence Loiret Caille,Christophe Miossec,Hélène Fillières,Claire Denis,179109
Jerry Seinfeld,Louis C.K.,Chris Rock,Ricky Gervais,,,,,,,John Moffitt,62425
,,,,,,,,,,Alexander Payne,129670
,,,,,,,,,,Dick Maas,45756
Huub Stapel,Monique van de Ven,Serge-Henri Valcke,Lou Landré,Tatum Dagelet,Bert Haanstra,Tanneke Hartzuiker,Wim Zomer,Hidde Maas,,Dick Maas,2093
,,,,,,,,,,Nicole Holofcener,209263
,,,,,,,,,,Joseph Gordon-Levitt,138697
,,,,,,,,,,Matthew Miele,168051
,,,,,,,,,,Wayne Thornley,133931
,,,,,,,,,,Raoul Walsh,28484
,,,,,,,,,,Seth Skundrick,36130
Wanda Sykes,,,,,,,,,,Michael Drumm,26251
Leigh Harris,Lynette Harris,Roberto Nelson,David Millbern,Bruno Rey,Ana De Sade,Roberto Ballesteros,Douglas Sanders,Tony Stevens,,Jack Hill ,41889
Dougray Scott,Alastair Mackenzie,James Anthony Pearson,Liz White,Charles Mnene,Shelley Conn,Karen Gillan,,,,Richard Jobson,23385
,,,,,,,,,,Jonathan Ogilvie,15810
Elina Reinold,Raivo E. Tamm,Juhan Ulfsak,Üllar Saaremäe,Hilje Murel,Hendrik Toompere Jr. Jr.,,,,,Toomas Hussar,128135
,,,,,,,,,,,455027
,,,,,,,,,,Michel Gondry,157820
Dane DeHaan,Mackenzie Gray,James Hetfield,Lars Ulrich,Kirk Hammett,Toby Hargrave,Robert Trujillo,,,,Nimród Antal,193613
Martin Bergmann,Ann Bernays,Edward Bernays,Anna Freud,Sigmund Freud,Wilhelm Reich,Adam Curtis,,,,Adam Curtis,51452
Jorge Rivero,Andrea Occhipinti,Sabrina Siani,Conrado San Martín,Gioia Scola,Violeta Cela,José Gras,,,,Lucio Fulci,27232
,,,,,,,,,,Sebastián Silva,157409
Harry Piekema,,,,,,,,,,Mark Verkerk,217014
Edwin Honig,,,,,,,,,,Alan Berliner,132887
Roger Corman,Colleen Camp,John Landis,Sid Haig,R. Lee Ermey,,,,,,Mark Hartley,70115
Holly Hunter,"Louis Gossett, Jr.",Richard Widmark,Will Patton,Joe Seneca,Woody Strode,,,,,Volker Schlöndorff,78143
,,,,,,,,,,Mark Edwin Robinson,216374
Jean Parker,Peter Cookson,Tim Ryan,Lorna Gray,Jan Wiley,Ralph Sanford,William Forrest,Byron Foulger,Hugh Prosser,Dick Elliott,William Beaudine,118948
,,,,,,,,,,Lloyd Bacon,249333
Amanda Crew,Kim Coates,Dustin Milligan,Michael Eklund,Amy Matysio,Katie Boland,Stephen Huszar,,,,Robert Cuffley,175245
Abhay Deol,Emraan Hashmi,Kalki Koechlin,Prasenjit Chatterjee,,,,,,,Dibakar Banerjee,100681
Peter Vives,Claudia Bassols,Neil Maskell,Patrick Regis,Brendan Mackey,Iaione Perez,Jennifer Matter,Peter Vives Newey,Felix Pring,Joyce Müller,Daniel Benmayor,25377
Leszek Lichota,Agnieszka Podsiadlik,Wiesław Komasa,Maciej Mikolajczyk,Izabela Kuna,Zbigniew Stryj,Łukasz Simlat,,,,Krzysztof Lukaszewicz,68780
Shonti Breisch,Jai Breisch,,,,,,,,,Janice Sutherland,55230
,,,,,,,,,,Rowan Athale,128241
Jalaja,Nedumudi Venu,V. K. Sreeraman,Gopi,,,,,,,Govindan Aravindan,256382
Maureen Teefy,Anthony Palermo,Grant Shaud,Lisa Wilcox,Nia Vardalos,Kelly Coleman,Rebeca Arthur,Pamela Gien,Starr Andreeff,Will Ferrell,Jim Milio,60125
,,,,,,,,,,Christian Duguay,24331
,,,,,,,,,,Christian Duguay,33305
Siddharth,Shruti Haasan,Brahmanandam,Ravi Babu,Tanikella Bharani,Gunjan Bakshi,,,,,Prakash Rao,72440
Gene Autry,Champion,Carolina Cotton,Harry Lauter,Mary Scott,Sydney Mason,Francis X. Bushman,Pat Buttram,,,George Archainbaud,103168
,,,,,,,,,,Hans Ingemarsson,25584
,,,,,,,,,,Jacob Vaughan,172828
Deepak Chopra,Evelyn Tribole,Howard Shapiro,Linda Bacon,Kathleen Sebilius,Timothy Dolan,Paul Campos,Jon Robinson,Beverly Johnson,Carolyn Costin,Darryl Roberts,75757
Michael Jayston,Mia Farrow,Adrian Topol,Margaret Rawlings,Annette Crosbie,Dudley Foster,Michael Aldridge,Michael Barrington,Neil McCarthy,,Carol Reed,86049
,,,,,,,,,,Abbas Kiarostami,154413
John Abraham,Arshad Warsi,Salman Shahid,Hanif Hum Ghum,Linda Arsenio,,,,,,Kabir Khan,30244
Ryu Seung-ryong,Park Shin-hye,Kal So-won,Jung Jin-young,Oh Dal-su,Park Won-sang,Kim Jeong-tae,Jeong Man-sik,Kim Ki-chun,Jo Jae-yoon,Lee Hwan-kyung,158445
,,,,,,,,,,Neeraj Pandey,165904
,,,,,,,,,,Dan Ireland,43727
Benoît Poelvoorde,Jean-Paul Rouve,Arly Jover,Miou-Miou,,,,,,,Jean-Paul Rouve,139725
,,,,,,,,,,Brad Furman,146238
,,,,,,,,,,Pascal Thomas,77776
,,,,,,,,,,Abdellatif Kechiche,152584
,,,,,,,,,,Tyler Perry,97006
Perla Haney-Jardine,Marin Ireland,Lili Taylor,Amy Madigan,William Sadler,Anubhav Jain,Marlena Kalm,Jessica Hoffman,Jenny Dare Paulin,,Jenny Deller,138202
,,,,,,,,,,Olivier Assayas,122089
,,,,,,,,,,Michael Anderson,51947
,,,,,,,,,,Jason Lapeyre,128081
Natalia Oreiro,Diego Peretti,Àlex Brendemühl,Elena Roger,Alan Daicz,Florencia Bado,Abril Braunstein,Juan I Martinez,,,Lucía Puenzo,188761
Victoria Carreras,Víctor Laplace,Javier Lombardo,Natalia Mateo,Iván Steinhardt,Adolfo Yanelli,,,,,Dieguillo Fernández,222759
,,,,,,,,,,Jack Shea,210940
Shawn-Caulin Young,Kate Cobb,Erin Bethea,Matthew Florida,Eric Roberts,T.J. Dalrymple,,,,,Lisa Arnold,192160
,,,,,,,,,,Don Mancini,167032
Patrick Flood,Jeff Peterson,Sam Page,Kim Ryan,Alicia Arden,Michael Guerin,Debra Mayer,,,,David DeCoteau,97790
,,,,,,,,,,Emmanuel Kervyn,21381
Christopher Plummer,Danny Glover,Frank Langella,Ed Begley Jr.,Barry Levinson,Benjamin Walker,Pablo Schreiber,Muhammad Ali,,,Stephen Frears,196355
Edmond O'Brien,Joanne Dru,Otto Kruger,Barry Kelley,Dorothy Patrick,Don Porter,Howard St. John,Robert Osterloh,Sammy White,Cleo Moore,Joseph M. Newman,37087
Daniel Rairdin-Hale,Yosh Hayashi,Ben Hopkins,Hanlon Smith-Dorsey,Andrew Harvey,Jessica Denney,Susaan Jamshidi,,,,Joe Zerull,102420
,,,,,,,,,,Robert Vincent O'Neill,1803
Andre Luis Azevedo,José Júnior,Michele Moraes,Anderson Sa,Zuenir Ventura,,,,,,Matt Mochary,49393
Nicolas Duvauchelle,Philippe Rebbot,Benjamin Biolay,,,,,,,,Edouard Deluc,161073
Eva Mattes,Ernst Jacobi,Elisabeth Stepanek,Angelika Thomas,Rainer Friedrichsen,Fritz Lichtenhahn,,,,,Helma Sanders-Brahms,65481
,,,,,,,,,,Peter Landesman,209262
Alexandra Maria Lara,Edward Hogg,David Atrakchi,Teresa Madruga,Melchior Derouet,Francis Frappat,,,,,Andrzej Jakimowski,128089
,,,,,,,,,,Jacob Kornbluth,159008
Markku Suominen,Kari Kuuva,,,,,,,,,Tapio Suominen,423078
,,,,,,,,,,Hideyuki Hirayama,55884
Hallie Todd,Thomas Wilson Brown,Karli Blalock,,,,,,,,Glenn Withrow,167673
